Date,Q(t-2),Q(t-1),Q(t),Q(t+1)
2001-03-31,21.07,20.76,20.45,36.41
2001-04-30,20.76,20.45,36.41,23.59
2001-05-31,20.45,36.41,23.59,0.96
2001-06-30,36.41,23.59,0.96,0.71
2001-07-31,23.59,0.96,0.71,3.91
2001-08-31,0.96,0.71,3.91,27.77
2001-09-30,0.71,3.91,27.77,27.29
2001-10-31,3.91,27.77,27.29,49.58
2001-11-30,27.77,27.29,49.58,36.28
2001-12-31,27.29,49.58,36.28,37.89
2002-01-31,49.58,36.28,37.89,15.99
2002-02-28,36.28,37.89,15.99,4.02
2002-03-31,37.89,15.99,4.02,7.34
2002-04-30,15.99,4.02,7.34,3.14
2002-05-31,4.02,7.34,3.14,7.53
2002-06-30,7.34,3.14,7.53,1.4
2002-07-31,3.14,7.53,1.4,37.82
2002-08-31,7.53,1.4,37.82,31.78
2002-09-30,1.4,37.82,31.78,3.05
2002-10-31,37.82,31.78,3.05,5.86
2002-11-30,31.78,3.05,5.86,32.31
2002-12-31,3.05,5.86,32.31,16.01
2003-01-31,5.86,32.31,16.01,12.61
2003-02-28,32.31,16.01,12.61,14.16
2003-03-31,16.01,12.61,14.16,4.04
2003-04-30,12.61,14.16,4.04,1.01
2003-05-31,14.16,4.04,1.01,0.54
2003-06-30,4.04,1.01,0.54,0.33
2003-07-31,1.01,0.54,0.33,0.96
2003-08-31,0.54,0.33,0.96,1.4
2003-09-30,0.33,0.96,1.4,0.6
2003-10-31,0.96,1.4,0.6,15.95
2003-11-30,1.4,0.6,15.95,2.98
2003-12-31,0.6,15.95,2.98,7.98
2004-01-31,15.95,2.98,7.98,26.95
2004-02-29,2.98,7.98,26.95,35.04
2004-03-31,7.98,26.95,35.04,11.31
2004-04-30,26.95,35.04,11.31,0.84
2004-05-31,35.04,11.31,0.84,0.47
2004-06-30,11.31,0.84,0.47,0.7
2004-07-31,0.84,0.47,0.7,0.55
2004-08-31,0.47,0.7,0.55,3.39
2004-09-30,0.7,0.55,3.39,4.47
2004-10-31,0.55,3.39,4.47,4.98
2004-11-30,3.39,4.47,4.98,29.82
2004-12-31,4.47,4.98,29.82,85.64
2005-01-31,4.98,29.82,85.64,87.55
2005-02-28,29.82,85.64,87.55,107.5
2005-03-31,85.64,87.55,107.5,111.0
2005-04-30,87.55,107.5,111.0,77.79
2005-05-31,107.5,111.0,77.79,78.08
2005-06-30,111.0,77.79,78.08,78.37
2005-07-31,77.79,78.08,78.37,78.67
2005-08-31,78.08,78.37,78.67,78.96
2005-09-30,78.37,78.67,78.96,79.25
2005-10-31,78.67,78.96,79.25,79.55
2005-11-30,78.96,79.25,79.55,79.84
2005-12-31,79.25,79.55,79.84,107.9
2006-01-31,79.55,79.84,107.9,129.0
2006-02-28,79.84,107.9,129.0,95.11
2006-03-31,107.9,129.0,95.11,80.89
2006-04-30,129.0,95.11,80.89,84.72
2006-05-31,95.11,80.89,84.72,88.65
2006-06-30,80.89,84.72,88.65,92.66
2006-07-31,84.72,88.65,92.66,96.82
2006-08-31,88.65,92.66,96.82,101.0
2006-09-30,92.66,96.82,101.0,138.2
2006-10-31,96.82,101.0,138.2,125.5
2006-11-30,101.0,138.2,125.5,100.8
2006-12-31,138.2,125.5,100.8,120.4
2007-01-31,125.5,100.8,120.4,118.7
2007-02-28,100.8,120.4,118.7,117.0
2007-03-31,120.4,118.7,117.0,115.2
2007-04-30,118.7,117.0,115.2,113.5
2007-05-31,117.0,115.2,113.5,111.7
2007-06-30,115.2,113.5,111.7,110.0
2007-07-31,113.5,111.7,110.0,108.3
2007-08-31,111.7,110.0,108.3,106.6
2007-09-30,110.0,108.3,106.6,114.1
2007-10-31,108.3,106.6,114.1,141.6
2007-11-30,106.6,114.1,141.6,95.26
2007-12-31,114.1,141.6,95.26,62.8
2008-01-31,141.6,95.26,62.8,46.4
2008-02-29,95.26,62.8,46.4,32.46
2008-03-31,62.8,46.4,32.46,20.78
2008-04-30,46.4,32.46,20.78,11.67
2008-05-31,32.46,20.78,11.67,5.15
2008-06-30,20.78,11.67,5.15,1.65
2008-07-31,11.67,5.15,1.65,1.01
2008-08-31,5.15,1.65,1.01,0.6
2008-09-30,1.65,1.01,0.6,0.49
2008-10-31,1.01,0.6,0.49,25.61
2008-11-30,0.6,0.49,25.61,25.89
2008-12-31,0.49,25.61,25.89,52.21
2009-01-31,25.61,25.89,52.21,53.72
2009-02-28,25.89,52.21,53.72,33.35
2009-03-31,52.21,53.72,33.35,2.95
2009-04-30,53.72,33.35,2.95,4.86
2009-05-31,33.35,2.95,4.86,12.18
2009-06-30,2.95,4.86,12.18,3.65
2009-07-31,4.86,12.18,3.65,1.72
2009-08-31,12.18,3.65,1.72,0.67
2009-09-30,3.65,1.72,0.67,9.18
2009-10-31,1.72,0.67,9.18,28.75
2009-11-30,0.67,9.18,28.75,2.5
2009-12-31,9.18,28.75,2.5,30.02
2010-01-31,28.75,2.5,30.02,82.77
2010-02-28,2.5,30.02,82.77,12.67
2010-03-31,30.02,82.77,12.67,27.02
2010-04-30,82.77,12.67,27.02,8.68
2010-05-31,12.67,27.02,8.68,0.99
2010-06-30,27.02,8.68,0.99,0.34
2010-07-31,8.68,0.99,0.34,0.18
2010-08-31,0.99,0.34,0.18,0.04
2010-09-30,0.34,0.18,0.04,5.01
2010-10-31,0.18,0.04,5.01,48.01
2010-11-30,0.04,5.01,48.01,39.78
2010-12-31,5.01,48.01,39.78,83.98
2011-01-31,48.01,39.78,83.98,67.09
2011-02-28,39.78,83.98,67.09,37.38
2011-03-31,83.98,67.09,37.38,15.62
2011-04-30,67.09,37.38,15.62,17.81
2011-05-31,37.38,15.62,17.81,4.26
2011-06-30,15.62,17.81,4.26,0.69
2011-07-31,17.81,4.26,0.69,0.0
2011-08-31,4.26,0.69,0.0,0.0
2011-09-30,0.69,0.0,0.0,0.85
2011-10-31,0.0,0.0,0.85,0.66
2011-11-30,0.0,0.85,0.66,19.97
2011-12-31,0.85,0.66,19.97,10.35
2012-01-31,0.66,19.97,10.35,35.43
2012-02-29,19.97,10.35,35.43,1.98
2012-03-31,10.35,35.43,1.98,2.12
2012-04-30,35.43,1.98,2.12,0.72
2012-05-31,1.98,2.12,0.72,11.2
2012-06-30,2.12,0.72,11.2,4.12
2012-07-31,0.72,11.2,4.12,4.44
2012-08-31,11.2,4.12,4.44,17.6
2012-09-30,4.12,4.44,17.6,17.15
2012-10-31,4.44,17.6,17.15,4.09
2012-11-30,17.6,17.15,4.09,59.38
2012-12-31,17.15,4.09,59.38,30.09
2013-01-31,4.09,59.38,30.09,25.79
2013-02-28,59.38,30.09,25.79,8.33
2013-03-31,30.09,25.79,8.33,16.4
2013-04-30,25.79,8.33,16.4,4.31
2013-05-31,8.33,16.4,4.31,0.75
2013-06-30,16.4,4.31,0.75,0.23
2013-07-31,4.31,0.75,0.23,0.2
2013-08-31,0.75,0.23,0.2,0.04
2013-09-30,0.23,0.2,0.04,3.93
2013-10-31,0.2,0.04,3.93,13.4
2013-11-30,0.04,3.93,13.4,43.82
2013-12-31,3.93,13.4,43.82,20.75
2014-01-31,13.4,43.82,20.75,38.55
2014-02-28,43.82,20.75,38.55,24.28
2014-03-31,20.75,38.55,24.28,0.83
2014-04-30,38.55,24.28,0.83,0.14
2014-05-31,24.28,0.83,0.14,0.04
2014-06-30,0.83,0.14,0.04,0.03
2014-07-31,0.14,0.04,0.03,0.09
2014-08-31,0.04,0.03,0.09,0.02
2014-09-30,0.03,0.09,0.02,0.67
2014-10-31,0.09,0.02,0.67,59.35
2014-11-30,0.02,0.67,59.35,34.81
2014-12-31,0.67,59.35,34.81,29.02
2015-01-31,59.35,34.81,29.02,4.82
2015-02-28,34.81,29.02,4.82,44.82
2015-03-31,29.02,4.82,44.82,4.67
2015-04-30,4.82,44.82,4.67,0.19
2015-05-31,44.82,4.67,0.19,0.14
2015-06-30,4.67,0.19,0.14,1.0
2015-07-31,0.19,0.14,1.0,0.32
2015-08-31,0.14,1.0,0.32,0.42
2015-09-30,1.0,0.32,0.42,0.3
2015-10-31,0.32,0.42,0.3,20.5943
2015-11-30,0.42,0.3,20.5943,31.9318
2015-12-31,0.3,20.5943,31.9318,46.9096
2016-01-31,20.5943,31.9318,46.9096,32.592
2016-02-29,31.9318,46.9096,32.592,44.6307
2016-03-31,46.9096,32.592,44.6307,26.833
2016-04-30,32.592,44.6307,26.833,10.7059
2016-05-31,44.6307,26.833,10.7059,0.67
2016-06-30,26.833,10.7059,0.67,0.4
2016-07-31,10.7059,0.67,0.4,11.28
2016-08-31,0.67,0.4,11.28,2.84
2016-09-30,0.4,11.28,2.84,4.7
2016-10-31,11.28,2.84,4.7,20.86
2016-11-30,2.84,4.7,20.86,17.05
2016-12-31,4.7,20.86,17.05,40.62
2017-01-31,20.86,17.05,40.62,39.59
2017-02-28,17.05,40.62,39.59,7.58
2017-03-31,40.62,39.59,7.58,6.12
2017-04-30,39.59,7.58,6.12,1.15
2017-05-31,7.58,6.12,1.15,0.19
2017-06-30,6.12,1.15,0.19,0.09
2017-07-31,1.15,0.19,0.09,0.03
2017-08-31,0.19,0.09,0.03,0.0
2017-09-30,0.09,0.03,0.0,15.2363
2017-10-31,0.03,0.0,15.2363,37.2676
2017-11-30,0.0,15.2363,37.2676,43.1281
