Date,Year,Month,streamflow (Mean),streamflow (Max),streamflow (Min)
31/01/2001,2001,1,21.07,21.23,20.9
28/02/2001,2001,2,20.76,20.9,20.61
31/03/2001,2001,3,20.45,20.61,20.28
30/04/2001,2001,4,36.41,136.7,16.31
31/05/2001,2001,5,23.59,55.8,1.63
30/06/2001,2001,6,0.96,1.63,0.65
31/07/2001,2001,7,0.71,1.09,0.53
31/08/2001,2001,8,3.91,156.1,0.25
30/09/2001,2001,9,27.77,113.4,3.58
31/10/2001,2001,10,27.29,364.2,0.93
30/11/2001,2001,11,49.58,138.2,9.68
31/12/2001,2001,12,36.28,91.02,12.18
31/01/2002,2002,1,37.89,310.6,5.89
28/02/2002,2002,2,15.99,80.06,2.04
31/03/2002,2002,3,4.02,6.97,1.66
30/04/2002,2002,4,7.34,91.02,0.93
31/05/2002,2002,5,3.14,28.85,0.65
30/06/2002,2002,6,7.53,28.85,3.02
31/07/2002,2002,7,1.4,3.29,0.65
31/08/2002,2002,8,37.82,195,0.65
30/09/2002,2002,9,31.78,175,2.89
31/10/2002,2002,10,3.05,32.16,0.65
30/11/2002,2002,11,5.86,17.38,0.65
31/12/2002,2002,12,32.31,175,0.65
31/01/2003,2003,1,16.01,91.02,3.02
28/02/2003,2003,2,12.61,77.43,2.04
31/03/2003,2003,3,14.16,22.55,7.17
30/04/2003,2003,4,4.04,7.88,1.53
31/05/2003,2003,5,1.01,1.63,0.65
30/06/2003,2003,6,0.54,0.65,0.43
31/07/2003,2003,7,0.33,0.43,0.33
31/08/2003,2003,8,0.96,4.83,0.33
30/09/2003,2003,9,1.4,18.66,0.33
31/10/2003,2003,10,0.6,7.25,0.25
30/11/2003,2003,11,15.95,53.49,0.53
31/12/2003,2003,12,2.98,8.75,0.93
31/01/2004,2004,1,7.98,15.93,2.12
29/02/2004,2004,2,26.95,77.43,4.83
31/03/2004,2004,3,35.04,105.7,7.88
30/04/2004,2004,4,11.31,77.43,1.53
31/05/2004,2004,5,0.84,1.53,0.53
30/06/2004,2004,6,0.47,0.65,0.43
31/07/2004,2004,7,0.7,2.04,0.43
31/08/2004,2004,8,0.55,1.63,0.33
30/09/2004,2004,9,3.39,18.66,0.79
31/10/2004,2004,10,4.47,18.66,0.93
30/11/2004,2004,11,4.98,53.49,0.79
31/12/2004,2004,12,29.82,175,7.88
31/01/2005,2005,1,85.64,941.7,5.17
28/02/2005,2005,2,87.55,94.13,81.12
31/03/2005,2005,3,107.5,170.1,77.43
30/04/2005,2005,4,111,392.6,77.43
31/05/2005,2005,5,77.79,77.94,77.64
30/06/2005,2005,6,78.08,78.22,77.94
31/07/2005,2005,7,78.37,78.52,78.22
31/08/2005,2005,8,78.67,78.82,78.52
30/09/2005,2005,9,78.96,79.11,78.82
31/10/2005,2005,10,79.25,79.4,79.11
30/11/2005,2005,11,79.55,79.69,79.4
31/12/2005,2005,12,79.84,79.99,79.69
31/01/2006,2006,1,107.9,392.6,79.99
28/02/2006,2006,2,129,452.4,78.74
31/03/2006,2006,3,95.11,138.2,78.74
30/04/2006,2006,4,80.89,82.76,79.03
31/05/2006,2006,5,84.72,86.7,82.76
30/06/2006,2006,6,88.65,90.61,86.7
31/07/2006,2006,7,92.66,94.73,90.61
31/08/2006,2006,8,96.82,98.94,94.73
30/09/2006,2006,9,101,103.1,98.94
31/10/2006,2006,10,138.2,377.2,91.02
30/11/2006,2006,11,125.5,941.7,78.74
31/12/2006,2006,12,100.8,175,80.06
31/01/2007,2007,1,120.4,121.3,119.5
28/02/2007,2007,2,118.7,119.5,117.8
31/03/2007,2007,3,117,117.8,116.1
30/04/2007,2007,4,115.2,116.1,114.3
31/05/2007,2007,5,113.5,114.3,112.6
30/06/2007,2007,6,111.7,112.6,110.9
31/07/2007,2007,7,110,110.9,109.2
31/08/2007,2007,8,108.3,109.2,107.5
30/09/2007,2007,9,106.6,107.5,105.8
31/10/2007,2007,10,114.1,656.7,64.92
30/11/2007,2007,11,141.6,620,80.06
31/12/2007,2007,12,95.26,216,72.11
31/01/2008,2008,1,62.8,72.11,53.93
29/02/2008,2008,2,46.4,53.93,39.26
31/03/2008,2008,3,32.46,39.26,26.1
30/04/2008,2008,4,20.78,26.1,15.87
31/05/2008,2008,5,11.67,15.87,7.92
30/06/2008,2008,6,5.15,7.92,2.8
31/07/2008,2008,7,1.65,2.8,0.86
31/08/2008,2008,8,1.01,2.27,0.25
30/09/2008,2008,9,0.6,0.79,0.25
31/10/2008,2008,10,0.49,0.53,0.43
30/11/2008,2008,11,25.61,138.2,0.43
31/12/2008,2008,12,25.89,33.7,18.8
31/01/2009,2009,1,52.21,549.9,2.51
28/02/2009,2009,2,53.72,178.5,7.25
31/03/2009,2009,3,33.35,164.4,4.69
30/04/2009,2009,4,2.95,81.8,0.81
31/05/2009,2009,5,4.86,10.79,1.51
30/06/2009,2009,6,12.18,62.78,1.14
31/07/2009,2009,7,3.65,12.44,0.98
31/08/2009,2009,8,1.72,3.13,0.93
30/09/2009,2009,9,0.67,1.43,0.33
31/10/2009,2009,10,9.18,23.83,0.4
30/11/2009,2009,11,28.75,64.92,4.18
31/12/2009,2009,12,2.5,11.09,0.65
31/01/2010,2010,1,30.02,195,0.79
28/02/2010,2010,2,82.77,392.6,1.63
31/03/2010,2010,3,12.67,138.2,1.26
30/04/2010,2010,4,27.02,156.1,4.18
31/05/2010,2010,5,8.68,64.92,0.65
30/06/2010,2010,6,0.99,4.18,0.43
31/07/2010,2010,7,0.34,0.43,0.25
31/08/2010,2010,8,0.18,0.25,0.08
30/09/2010,2010,9,0.04,0.08,0.01
31/10/2010,2010,10,5.01,91.02,0
30/11/2010,2010,11,48.01,584.4,2.04
31/12/2010,2010,12,39.78,549.9,0
31/01/2011,2011,1,83.98,392.6,0
28/02/2011,2011,2,67.09,83.88,51.57
31/03/2011,2011,3,37.38,51.57,24.78
30/04/2011,2011,4,15.62,24.78,7.98
31/05/2011,2011,5,17.81,64.92,3.87
30/06/2011,2011,6,4.26,7.05,1.99
31/07/2011,2011,7,0.69,1.99,0
31/08/2011,2011,8,0,0,0
30/09/2011,2011,9,0,0,0
31/10/2011,2011,10,0.85,2.76,0
30/11/2011,2011,11,0.66,1.63,0.03
31/12/2011,2011,12,19.97,156.1,0.25
31/01/2012,2012,1,10.35,77.43,3.88
29/02/2012,2012,2,35.43,725.2,3.02
31/03/2012,2012,3,1.98,11.65,0.53
30/04/2012,2012,4,2.12,10.64,0.53
31/05/2012,2012,5,0.72,2.41,0.25
30/06/2012,2012,6,11.2,156.1,0.17
31/07/2012,2012,7,4.12,9.68,1.83
31/08/2012,2012,8,4.44,11.14,1.63
30/09/2012,2012,9,17.6,77.43,1.63
31/10/2012,2012,10,17.15,105.7,3.02
30/11/2012,2012,11,4.09,12.71,0.65
31/12/2012,2012,12,59.38,238.1,0.76
31/01/2013,2013,1,30.09,131.4,4.18
28/02/2013,2013,2,25.79,118.2,1.26
31/03/2013,2013,3,8.33,9.65,7.07
30/04/2013,2013,4,16.4,80.06,1.26
31/05/2013,2013,5,4.31,10.15,2.26
30/06/2013,2013,6,0.75,2.26,0.33
31/07/2013,2013,7,0.23,0.33,0.17
31/08/2013,2013,8,0.2,0.53,0.07
30/09/2013,2013,9,0.04,0.07,0.01
31/10/2013,2013,10,3.93,21.35,0
30/11/2013,2013,11,13.4,80.06,0.33
31/12/2013,2013,12,43.82,163.5,13.81
31/01/2014,2014,1,20.75,91.02,3.87
28/02/2014,2014,2,38.55,89.61,6.26
31/03/2014,2014,3,24.28,483.8,1.09
30/04/2014,2014,4,0.83,4.18,0.25
31/05/2014,2014,5,0.14,0.38,0.03
30/06/2014,2014,6,0.04,0.07,0.03
31/07/2014,2014,7,0.03,0.03,0.01
31/08/2014,2014,8,0.09,0.65,0.01
30/09/2014,2014,9,0.02,0.05,0.01
31/10/2014,2014,10,0.67,4.18,0.01
30/11/2014,2014,11,59.35,656.7,1.34
31/12/2014,2014,12,34.81,128,9.68
31/01/2015,2015,1,29.02,91.02,3.87
28/02/2015,2015,2,4.82,25.34,0.53
31/03/2015,2015,3,44.82,238.1,0.93
30/04/2015,2015,4,4.67,22.4,0.53
31/05/2015,2015,5,0.19,0.59,0.11
30/06/2015,2015,6,0.14,0.17,0.11
31/07/2015,2015,7,1,4.18,0.11
31/08/2015,2015,8,0.32,1.34,0.07
30/09/2015,2015,9,0.42,1.63,0.11
31/10/2015,2015,10,0.3,0.53,0.17
30/11/2015,2015,11,,,
31/12/2015,2015,12,,,
31/01/2016,2016,1,,,
29/02/2016,2016,2,,,
31/03/2016,2016,3,,,
30/04/2016,2016,4,,,
31/05/2016,2016,5,,,
30/06/2016,2016,6,0.67,1.19,0.29
31/07/2016,2016,7,0.4,4.24,0.06
31/08/2016,2016,8,11.28,55.57,0.9
30/09/2016,2016,9,2.84,6.61,1.04
31/10/2016,2016,10,4.7,67.58,0.32
30/11/2016,2016,11,20.86,118.8,1.42
31/12/2016,2016,12,17.05,159,0
31/01/2017,2017,1,40.62,150.8,9.39
28/02/2017,2017,2,39.59,173,4.76
31/03/2017,2017,3,7.58,35.56,1.89
30/04/2017,2017,4,6.12,87.66,0.92
31/05/2017,2017,5,1.15,1.45,0.93
30/06/2017,2017,6,0.19,0.2,0.17
31/07/2017,2017,7,0.09,0.24,0.03
31/08/2017,2017,8,0.03,0.14,0
30/09/2017,2017,9,0,0.01,0
31/10/2017,2017,10,,,
30/11/2017,2017,11,,,
31/12/2017,2017,12,,,
